league,match_name,outcome,mu_phat,fair_prob,raw_odds,mu_edge,bin17_edge,bin27_edge,min_edge,state_17_id,state_27_id,oos_roi,oos_t_stat,n_train,n_test
league_de,UBE - MGB,1x2_2_val,0.344675,0.3049,3.28,0.039775,0.049032,0.043149,0.039775,STATE_17_01,STATE_27_01,0.077764,2.198,4423.0,1896.0
league_en,MNU - FUL,1x2_2_val,0.211402,0.1718,5.82,0.039602,0.056519,0.043791,0.039602,STATE_17_05,STATE_27_10,0.180472,2.246,1976.0,848.0
league_en,ARS - LEE,1x2_2_val,0.151558,0.099,10.1,0.052558,0.06386,0.039543,0.039543,STATE_17_04,STATE_27_11,0.393514,3.29,1976.0,848.0
league_es,GET - LEV,o_u_2_5_un_val,0.755839,0.565,1.77,0.190839,0.045049,0.039258,0.039258,STATE_17_05,STATE_27_01,0.179304,6.256,1978.0,848.0
league_it,JUV - GEN,1x2_2_val,0.145686,0.1075,9.3,0.038186,0.047034,0.04565,0.038186,STATE_17_04,STATE_27_12,0.259717,2.378,1979.0,849.0
league_it,GEN - NAP,o_u_3_5_un_val,0.651451,0.6135,1.63,0.037951,0.058257,0.045973,0.037951,STATE_17_08,STATE_27_18,0.072571,2.733,1978.0,848.0
league_de,MGB - FRE,1x2_1_val,0.353435,0.3155,3.17,0.037935,0.044193,0.048868,0.037935,STATE_17_01,STATE_27_01,0.081746,2.368,4422.0,1896.0
league_en,MNC - NOT,1x2_2_val,0.204811,0.1597,6.26,0.045111,0.068619,0.037534,0.037534,STATE_17_05,STATE_27_03,0.268221,3.106,1978.0,849.0
league_it,UDI - GEN,o_u_2_5_un_val,0.621727,0.5263,1.9,0.095427,0.037414,0.037719,0.037414,STATE_17_05,STATE_27_10,0.086675,2.685,1978.0,848.0
league_it,ROM - COM,1x2_1_val,0.567587,0.4785,2.09,0.089087,0.036625,0.088754,0.036625,STATE_17_06,STATE_27_08,0.106616,2.976,1978.0,848.0
league_it,JUV - GEN,double_chance_x2_val,0.37553,0.339,2.95,0.03653,0.053972,0.046669,0.03653,STATE_17_04,STATE_27_12,0.097998,2.002,1979.0,849.0
league_es,BET - RMA,1x2_2_val,0.497701,0.4425,2.26,0.055201,0.074513,0.036366,0.036366,STATE_17_23,STATE_27_26,0.080754,2.084,1978.0,849.0
league_it,LAZ - ROM,1x2_1_val,0.376724,0.2976,3.36,0.079124,0.036142,0.049543,0.036142,STATE_17_12,STATE_27_09,0.127915,2.349,1978.0,849.0
league_it,COM - PAR,o_u_1_5_un_val,0.333333,0.2257,4.43,0.107633,0.035796,0.05552,0.035796,STATE_17_02,STATE_27_01,0.191085,2.833,1978.0,848.0
league_it,COM - PAR,o_u_2_5_un_val,0.594126,0.4808,2.08,0.113326,0.035637,0.059546,0.035637,STATE_17_02,STATE_27_01,0.103774,2.911,1978.0,848.0
league_es,SEV - BAR,o_u_1_5_un_val,0.356334,0.2358,4.24,0.120534,0.035429,0.039885,0.035429,STATE_17_13,STATE_27_20,0.165,2.539,1978.0,848.0
league_en,LIV - BHA,1x2_1_val,0.607118,0.5405,1.85,0.066618,0.047462,0.035303,0.035303,STATE_17_04,STATE_27_06,0.066138,2.112,1986.0,852.0
league_it,MIL - CAG,1x2_2_val,0.142504,0.1027,9.74,0.039804,0.032581,0.039427,0.032581,STATE_17_09,STATE_27_04,0.273428,2.426,1979.0,849.0
league_es,SEV - LEV,o_u_4_5_ov_val,0.07676,0.0442,22.6,0.03256,0.032128,0.033653,0.032128,STATE_17_05,STATE_27_01,0.464075,2.431,1978.0,849.0
league_es,CEL - RMA,o_u_1_5_un_val,0.36669,0.2392,4.18,0.12749,0.032029,0.033484,0.032029,STATE_17_13,STATE_27_13,0.240707,3.673,1979.0,849.0
league_es,RAY - ELC,double_chance_x2_val,0.573399,0.5,2.0,0.073399,0.101787,0.031748,0.031748,STATE_17_02,STATE_27_06,0.081272,2.376,1978.0,849.0
league_de,STU - MGB,gg_ng_gg_val,0.538535,0.5025,1.99,0.036035,0.048284,0.031576,0.031576,STATE_17_05,STATE_27_04,0.059024,2.588,4423.0,1896.0
league_es,GET - LEV,gg_ng_ng_val,0.686129,0.5076,1.97,0.178529,0.040474,0.031563,0.031563,STATE_17_05,STATE_27_01,0.20105,6.092,1978.0,848.0
league_it,CAG - GEN,o_u_4_5_ov_val,0.078556,0.0474,21.1,0.031156,0.047978,0.047243,0.031156,STATE_17_05,STATE_27_10,0.492925,2.653,1978.0,848.0
league_it,FIO - SAS,1x2_1_val,0.498762,0.4184,2.39,0.080362,0.030895,0.083591,0.030895,STATE_17_02,STATE_27_13,0.10351,2.531,1978.0,849.0
league_it,UDI - LAZ,1x2_2_val,0.441301,0.3788,2.64,0.062501,0.071135,0.030585,0.030585,STATE_17_03,STATE_27_07,0.106996,2.393,1979.0,849.0
league_de,RBL - BRE,1x2_2_val,0.200032,0.1597,6.26,0.040332,0.031568,0.030385,0.030385,STATE_17_06,STATE_27_04,0.191909,3.4,4423.0,1896.0
league_es,CEL - VAL,o_u_4_5_ov_val,0.088079,0.0578,17.3,0.030279,0.032275,0.037057,0.030279,STATE_17_02,STATE_27_06,0.487515,2.929,1978.0,849.0
league_it,CAG - NAP,o_u_4_5_un_val,0.782101,0.7519,1.33,0.030201,0.093309,0.043551,0.030201,STATE_17_08,STATE_27_19,0.038622,2.046,1978.0,849.0
league_es,ATH - CEL,o_u_2_5_un_val,0.566879,0.5208,1.92,0.046079,0.02995,0.049906,0.02995,STATE_17_03,STATE_27_15,0.068679,2.097,1978.0,848.0
league_es,BAR - ATH,1x2_2_val,0.189887,0.1401,7.14,0.049787,0.029922,0.042161,0.029922,STATE_17_06,STATE_27_33,0.211025,2.295,1979.0,849.0
league_en,ARS - CRY,1x2_x_val,0.265321,0.2193,4.56,0.046021,0.029877,0.036082,0.029877,STATE_17_04,STATE_27_06,0.195183,2.833,1976.0,847.0
league_it,GEN - SAS,1x2_1_val,0.423771,0.365,2.74,0.058771,0.028859,0.056359,0.028859,STATE_17_05,STATE_27_01,0.116655,2.525,1978.0,849.0
league_es,ATH - CEL,gg_ng_ng_val,0.522647,0.4902,2.04,0.032447,0.02837,0.039996,0.02837,STATE_17_03,STATE_27_15,0.077736,2.223,1978.0,848.0
league_en,NOT - CRY,1x2_1_val,0.483357,0.4082,2.45,0.075157,0.047606,0.028201,0.028201,STATE_17_01,STATE_27_01,0.106545,2.545,1976.0,848.0
league_en,FUL - EVE,1x2_1_val,0.472449,0.4082,2.45,0.064249,0.047606,0.028201,0.028201,STATE_17_01,STATE_27_01,0.132109,3.142,1969.0,844.0
league_it,TOR - GEN,1x2_2_val,0.313163,0.2639,3.79,0.049263,0.048225,0.027558,0.027558,STATE_17_05,STATE_27_01,0.15309,2.557,1978.0,848.0
league_es,SEV - BAR,o_u_2_5_un_val,0.625619,0.495,2.02,0.130619,0.027304,0.04434,0.027304,STATE_17_13,STATE_27_20,0.117193,3.398,1978.0,848.0
league_en,BHA - LIV,1x2_2_val,0.475427,0.4184,2.39,0.057027,0.02666,0.056248,0.02666,STATE_17_03,STATE_27_05,0.134045,3.261,1965.0,843.0
league_es,ATH - RAY,gg_ng_ng_val,0.554652,0.4878,2.05,0.066852,0.073708,0.026305,0.026305,STATE_17_12,STATE_27_05,0.079329,2.258,1978.0,849.0
league_es,BET - RAY,o_u_2_5_ov_val,0.498231,0.4545,2.2,0.043731,0.032743,0.025822,0.025822,STATE_17_06,STATE_27_05,0.107783,2.853,1978.0,848.0
league_en,BOU - ARS,1x2_x_val,0.292761,0.2551,3.92,0.037661,0.038012,0.025652,0.025652,STATE_17_03,STATE_27_05,0.16766,2.72,1972.0,846.0
league_en,NEW - NOT,1x2_2_val,0.215019,0.1718,5.82,0.043219,0.056519,0.025434,0.025434,STATE_17_05,STATE_27_03,0.319292,3.813,1976.0,847.0
league_es,OSA - ALV,1x2_2_val,0.274239,0.2294,4.36,0.044839,0.024856,0.045041,0.024856,STATE_17_05,STATE_27_01,0.146557,2.223,1978.0,848.0
league_es,CEL - RMA,o_u_2_5_un_val,0.61669,0.4975,2.01,0.11919,0.024804,0.029052,0.024804,STATE_17_13,STATE_27_13,0.086678,2.521,1979.0,849.0
league_es,BET - RAY,o_u_3_5_ov_val,0.275655,0.2387,4.19,0.036955,0.032613,0.024515,0.024515,STATE_17_06,STATE_27_05,0.131498,2.058,1978.0,848.0
league_it,GEN - COM,o_u_1_5_un_val,0.295471,0.2387,4.19,0.056771,0.024378,0.031686,0.024378,STATE_17_01,STATE_27_02,0.215495,3.3,1978.0,848.0
league_es,ATM - BET,1x2_1_val,0.573399,0.5,2.0,0.073399,0.023627,0.030358,0.023627,STATE_17_03,STATE_27_10,0.074205,2.168,1978.0,849.0
league_en,ARS - EVE,1x2_2_val,0.156084,0.1261,7.93,0.029984,0.03676,0.023355,0.023355,STATE_17_04,STATE_27_14,0.209184,2.134,1973.0,846.0
league_it,SAS - LEC,o_u_4_5_ov_val,0.125265,0.0813,12.3,0.043965,0.033551,0.02328,0.02328,STATE_17_02,STATE_27_01,0.26191,2.044,1978.0,848.0
league_es,CEL - RMA,gg_ng_ng_val,0.58628,0.4762,2.1,0.11008,0.036552,0.022893,0.022893,STATE_17_13,STATE_27_13,0.090813,2.522,1979.0,849.0
league_it,CAG - SAS,o_u_1_5_un_val,0.335692,0.2793,3.58,0.056392,0.022793,0.022419,0.022419,STATE_17_05,STATE_27_10,0.130082,2.278,1978.0,849.0
league_es,BET - RSO,1x2_2_val,0.300318,0.2381,4.2,0.062218,0.022215,0.045534,0.022215,STATE_17_11,STATE_27_22,0.177385,2.74,1978.0,849.0
league_es,ALV - ATM,o_u_1_5_ov_val,0.699929,0.6494,1.54,0.050529,0.041945,0.022133,0.022133,STATE_17_19,STATE_27_17,0.051486,2.092,1978.0,848.0
league_it,CAG - FIO,1x2_1_val,0.330032,0.2899,3.45,0.040132,0.04259,0.021714,0.021714,STATE_17_16,STATE_27_07,0.154064,2.758,1978.0,849.0
league_de,BVB - MGB,1x2_2_val,0.170307,0.1346,7.43,0.035707,0.021622,0.035002,0.021622,STATE_17_03,STATE_27_05,0.136445,2.222,4422.0,1896.0
league_de,RBL - MGB,1x2_2_val,0.175819,0.1346,7.43,0.041219,0.021622,0.035002,0.021622,STATE_17_03,STATE_27_05,0.218739,3.462,4423.0,1896.0
league_es,BET - RMA,o_u_2_5_ov_val,0.573399,0.5128,1.95,0.060599,0.028381,0.021317,0.021317,STATE_17_23,STATE_27_26,0.113958,3.441,1978.0,849.0
